fatura,tipo,descricao,conta,categoria,valor,valor_parcela,parcela_atual,n_parcelas,data_lancamento,grupo_parcela_id,client_id,observacao
2026-01,parcela,Pink cheeks,Inter Crédito 0111 e 1926,Beleza,49.43,49.43,2,5,2026-01-01T00:00:00.000Z,fd6bb4ab9d19e5f8,2b6e95a3-f1fa-80b8-a511-f3cb46418b0a,Compra: 2025-11-24 | Caixa: 26.JAN | Importado do Notion: Parcelados 29de95a3f1fa8108a4bcf2e7aa99e8b3.html
2026-01,parcela,Relax,Inter Crédito 0111 e 1926,Beleza,64.58,64.58,2,4,2026-01-01T00:00:00.000Z,7f6700b4b41fdb7a,2b8e95a3-f1fa-8070-8804-e7c02ea59b1b,Compra: 2025-11-27 | Caixa: 26.JAN | Importado do Notion: Parcelados 29de95a3f1fa8108a4bcf2e7aa99e8b3.html
2026-01,parcela,Aspirador,Inter Crédito 0111 e 1926,Casa,69.92,69.92,2,10,2026-01-01T00:00:00.000Z,694656e4336b3304,2b2e95a3-f1fa-8023-816a-f1a5e30017c6,Compra: 2025-11-21 | Caixa: 26.JAN | Importado do Notion: Parcelados 29de95a3f1fa8108a4bcf2e7aa99e8b3.html
2026-01,parcela,Boleto condominio,Inter Crédito 0111 e 1926,Casa,240.92,240.92,1,4,2026-01-01T00:00:00.000Z,93ade45fe7b6ec2f,2c3e95a3-f1fa-80eb-aff9-c100676cd66b,Compra: 2025-12-08 | Caixa: 26.JAN | Importado do Notion: Parcelados 29de95a3f1fa8108a4bcf2e7aa99e8b3.html
2026-01,parcela,Carrinho,Inter Crédito 0111 e 1926,Casa,58.14,58.14,1,2,2026-01-01T00:00:00.000Z,b1d6b4d2f124f0a7,2bfe95a3-f1fa-80e9-8737-ccc8343a7aef,Compra: 2025-12-04 | Caixa: 26.JAN | Importado do Notion: Parcelados 29de95a3f1fa8108a4bcf2e7aa99e8b3.html
2026-01,parcela,Carrinho 2,Inter Crédito 0111 e 1926,Casa,39.18,39.18,1,3,2026-01-01T00:00:00.000Z,36858585293b95f0,2c3e95a3-f1fa-80d2-9cfe-e369588f43ba,Compra: 2025-12-08 | Caixa: 26.JAN | Importado do Notion: Parcelados 29de95a3f1fa8108a4bcf2e7aa99e8b3.html
2026-01,parcela,Carrinho organizador,Inter Crédito 0111 e 1926,Casa,37.77,37.77,4,6,2026-01-01T00:00:00.000Z,a14d44609b464838,29fe95a3-f1fa-801b-8fcd-cf8bbd347432,Compra: 2025-09-27 | Caixa: 26.JAN | Importado do Notion: Parcelados 29de95a3f1fa8108a4bcf2e7aa99e8b3.html
2026-01,parcela,Internet nov,Inter Crédito 0111 e 1926,Casa,61.34,61.34,1,2,2026-01-01T00:00:00.000Z,ba1f98c6978cc2c4,2bde95a3-f1fa-80af-a6b4-cb88899b0aff,Compra: 2025-12-02 | Caixa: 26.JAN | Importado do Notion: Parcelados 29de95a3f1fa8108a4bcf2e7aa99e8b3.html
2026-01,parcela,Luz nov,Inter Crédito 0111 e 1926,Casa,64.59,64.59,1,2,2026-01-01T00:00:00.000Z,fb53e1f9bb472118,2bde95a3-f1fa-806e-825e-f9dcee8f29fe,Compra: 2025-12-02 | Caixa: 26.JAN | Importado do Notion: Parcelados 29de95a3f1fa8108a4bcf2e7aa99e8b3.html
2026-01,parcela,Mantas,Inter Crédito 0111 e 1926,Casa,43.87,43.87,1,2,2026-01-01T00:00:00.000Z,14fbedf34156f98b,2c8e95a3-f1fa-8080-b4d3-d86e12f83387,Compra: 2025-12-13 | Caixa: 26.JAN | Importado do Notion: Parcelados 29de95a3f1fa8108a4bcf2e7aa99e8b3.html
2026-01,parcela,Quadrinhos,Inter Crédito 0111 e 1926,Casa,35.65,35.65,4,4,2026-01-01T00:00:00.000Z,93b0471c97ddc73a,29fe95a3-f1fa-80d3-8a13-d2bdb40a0505,Compra: 2025-09-06 | Caixa: 26.JAN | Importado do Notion: Parcelados 29de95a3f1fa8108a4bcf2e7aa99e8b3.html
2026-01,parcela,Girafinha e tapete,Inter Crédito 0111 e 1926,Catarina,40.9,40.9,2,4,2026-01-01T00:00:00.000Z,024207cdfa3c20e1,2b8e95a3-f1fa-80b0-8992-df239bff75a4,Compra: 2025-11-27 | Caixa: 26.JAN | Importado do Notion: Parcelados 29de95a3f1fa8108a4bcf2e7aa99e8b3.html
2026-01,parcela,Tela,Inter Crédito 0111 e 1926,Ed/Trabalho,66.15,66.15,1,10,2026-01-01T00:00:00.000Z,c612f90d85685920,2c4e95a3-f1fa-80c3-aeeb-c1eb5239a531,Compra: 2025-12-09 | Caixa: 26.JAN | Importado do Notion: Parcelados 29de95a3f1fa8108a4bcf2e7aa99e8b3.html
2026-01,parcela,Balança,Inter Crédito 0111 e 1926,Exercício,51.72,51.72,1,9,2026-01-01T00:00:00.000Z,490e462aab0a6157,2bfe95a3-f1fa-803b-a508-d6061c0d57de,Compra: 2025-12-04 | Caixa: 26.JAN | Importado do Notion: Parcelados 29de95a3f1fa8108a4bcf2e7aa99e8b3.html
2026-01,parcela,Bike,Inter Crédito 0111 e 1926,Exercício,153,153,4,12,2026-01-01T00:00:00.000Z,d0d8106b54a94b9d,29fe95a3-f1fa-80f2-a2e4-f8d878aa471c,Compra: 2025-09-02 | Caixa: 26.JAN | Importado do Notion: Parcelados 29de95a3f1fa8108a4bcf2e7aa99e8b3.html
2026-01,parcela,DUX,Inter Crédito 0111 e 1926,Exercício,79.01,79.01,2,4,2026-01-01T00:00:00.000Z,26ec30b8a83b57e4,2b4e95a3-f1fa-8004-9acf-fe85ef1c31a4,Compra: 2025-11-23 | Caixa: 26.JAN | Importado do Notion: Parcelados 29de95a3f1fa8108a4bcf2e7aa99e8b3.html
2026-01,parcela,Maratona,Inter Crédito 0111 e 1926,Exercício,100.96,100.96,1,3,2026-01-01T00:00:00.000Z,d312a0958f3ff135,2c4e95a3-f1fa-801e-8462-f7379af38da7,Compra: 2025-12-09 | Caixa: 26.JAN | Importado do Notion: Parcelados 29de95a3f1fa8108a4bcf2e7aa99e8b3.html
2026-01,parcela,On running,Inter Crédito 0111 e 1926,Exercício,116.59,116.59,4,12,2026-01-01T00:00:00.000Z,7a5d7abf8b61f09d,29fe95a3-f1fa-803a-b10b-e1165b4c13e1,Compra: 2025-09-27 | Caixa: 26.JAN | Importado do Notion: Parcelados 29de95a3f1fa8108a4bcf2e7aa99e8b3.html
2026-01,parcela,Tenis de trilha,Inter Crédito 0111 e 1926,Exercício,111.25,111.25,6,8,2026-01-01T00:00:00.000Z,5085a5cf275d7f04,29fe95a3-f1fa-8034-9c0a-c9d1d375a7a4,Compra: 2025-07-16 | Caixa: 26.JAN | Importado do Notion: Parcelados 29de95a3f1fa8108a4bcf2e7aa99e8b3.html
2026-01,parcela,amazon comida gatos,Inter Crédito 0111 e 1926,Gatins,34.88,34.88,2,2,2026-01-01T00:00:00.000Z,4076265d850f4285,2abe95a3-f1fa-80e4-85af-e33f7ae6f250,Compra: 2025-11-14 | Caixa: 26.JAN | Importado do Notion: Parcelados 29de95a3f1fa8108a4bcf2e7aa99e8b3.html
2026-01,parcela,Areia,Inter Crédito 0111 e 1926,Gatins,43.38,43.38,4,4,2026-01-01T00:00:00.000Z,9ca0d0b98f375b3a,29fe95a3-f1fa-8054-849c-c2c968239c38,Compra: 2025-09-05 | Caixa: 26.JAN | Importado do Notion: Parcelados 29de95a3f1fa8108a4bcf2e7aa99e8b3.html
2026-01,parcela,Areia gatos,Inter Crédito 0111 e 1926,Gatins,60,60,1,4,2026-01-01T00:00:00.000Z,377165014dadd5e6,2c5e95a3-f1fa-80f3-b3ae-f6e1a2519be4,Compra: 2025-12-10 | Caixa: 26.JAN | Importado do Notion: Parcelados 29de95a3f1fa8108a4bcf2e7aa99e8b3.html
2026-01,parcela,Areia gatos,Inter Crédito 0111 e 1926,Gatins,37.18,37.18,2,4,2026-01-01T00:00:00.000Z,a0b5a8c06930e822,29fe95a3-f1fa-800e-95c0-d3eec743ba60,Compra: 2025-11-01 | Caixa: 26.JAN | Importado do Notion: Parcelados 29de95a3f1fa8108a4bcf2e7aa99e8b3.html
2026-01,parcela,Comida gatos,Inter Crédito 0111 e 1926,Gatins,88.18,88.18,1,5,2026-01-01T00:00:00.000Z,acd86c21b51118ad,2bee95a3-f1fa-8009-a84f-c8ee8a3c7826,Compra: 2025-12-03 | Caixa: 26.JAN | Importado do Notion: Parcelados 29de95a3f1fa8108a4bcf2e7aa99e8b3.html
2026-01,parcela,Gatin,Inter Crédito 0111 e 1926,Gatins,38.56,38.56,3,4,2026-01-01T00:00:00.000Z,ba5ebc9138dd9574,29fe95a3-f1fa-80a8-b7d0-d7f765a305b5,Compra: 2025-10-03 | Caixa: 26.JAN | Importado do Notion: Parcelados 29de95a3f1fa8108a4bcf2e7aa99e8b3.html
2026-01,parcela,Ração,Inter Crédito 0111 e 1926,Gatins,51.73,51.73,4,7,2026-01-01T00:00:00.000Z,11062c85d386dfca,29fe95a3-f1fa-80d5-b7c0-d73098b63972,Compra: 2025-09-04 | Caixa: 26.JAN | Importado do Notion: Parcelados 29de95a3f1fa8108a4bcf2e7aa99e8b3.html
2026-01,parcela,Box HP,Inter Crédito 0111 e 1926,Livros,50.46,50.46,5,10,2026-01-01T00:00:00.000Z,2a897c194e543115,29fe95a3-f1fa-80a1-8413-d96ce96125d4,Compra: 2025-08-07 | Caixa: 26.JAN | Importado do Notion: Parcelados 29de95a3f1fa8108a4bcf2e7aa99e8b3.html
2026-01,parcela,Canetinhas,Inter Crédito 0111 e 1926,Outros,32.4,32.4,2,3,2026-01-01T00:00:00.000Z,3cae97dae61aa128,2bce95a3-f1fa-8024-a225-ffc8d82d5e22,Compra: 2025-11-30 | Caixa: 26. FEV | Importado do Notion: Parcelados 29de95a3f1fa8108a4bcf2e7aa99e8b3.html
